2026-02-16T11:15:24.4486724Z | Correlation=b6fbc52184c94f7c9a763deb42c33a0f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=892 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:34.8258721Z | Correlation=b015a080f2dd4666879a4920d0daee6c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:15:34.8685825Z | Correlation=b015a080f2dd4666879a4920d0daee6c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=893 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:40.6516116Z | Correlation=4a9d996f174b42cb89e9015deb62539f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:15:40.6967331Z | Correlation=4a9d996f174b42cb89e9015deb62539f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=894 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:44.0494417Z | Correlation=94e446473eef40a7bbe58458d95d3419 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:15:44.0991233Z | Correlation=94e446473eef40a7bbe58458d95d3419 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=895 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:48.8536105Z | Correlation=502e12ef55dd43dfb073b7b9e0224428 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:15:48.9034508Z | Correlation=502e12ef55dd43dfb073b7b9e0224428 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=896 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:53.7898432Z | Correlation=9253051a71ca43a09f16db6cbb9bd48b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
